
="",="(1)",="(2)",="(3)",="(4)"
="",="playerfund_a_allocation",="playerfund_a_allocation",="playerfund_a_allocation",="playerfund_a_allocation"

="five_yearly_equivalent_2",="2.211",="-9.889",="-12.00*",="-12.35**"
="",="(6.975)",="(6.830)",="(4.365)",="(3.518)"

="five_yearly_equivalent_3",="-0.211",="-10.00",="-16.13",="-7.941"
="",="(8.061)",="(7.600)",="(7.600)",="(5.746)"

="five_yearly_equivalent_4",="1.368",="-14.89",="-17.75",="-14.18"
="",="(9.766)",="(9.229)",="(9.072)",="(8.347)"

="five_yearly_equivalent_5",="9.263",="-14.78",="-17.13**",="-9.824"
="",="(9.016)",="(10.20)",="(5.759)",="(7.881)"

="_cons",="49.21***",="70.44***",="50.56***",="57.47***"
="",="(3.794)",="(4.136)",="(3.680)",="(6.919)"

="N",="95",="90",="80",="85"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
