
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="playerfund_a_allocation",="playerfund_a_allocation",="playerfund_a_allocation",="playerfund_a_allocation",="playerfund_a_allocation",="playerfund_a_allocation",="playerfund_a_allocation",="playerfund_a_allocation"

="subsessionround_number",="0.0127",="-0.0342**",="-4*",="-2.147",="0.0127",="-0.0342",="-4*",="-2.147"
="",="(0.0111)",="(0.0125)",="(1.575)",="(2.065)",="(0.0272)",="(0.0274)",="(1.572)",="(1.935)"

="_cons",="51.27***",="62.07***",="49.96***",="55.05***",="51.27***",="62.07***",="49.96***",="55.05***"
="",="(1.288)",="(1.453)",="(5.225)",="(6.848)",="(5.297)",="(5.243)",="(4.499)",="(7.974)"

="N",="3800",="3600",="80",="85",="3800",="3600",="80",="85"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
